no,first_name,last_name,yr,pos,app,gs,w,l,sv,cg,ip,h,r,er,bb,k,k_7,hr,era,team_name,division
3,Colby,McDivitt,Freshman,P/INF,29,20,9,11,0,18,154.2,219,153,101,29,111,5.02,13,4.57,Prairie State,2
43,Mariana,Serratos,Sophomore,P/2B,12,11,3,5,0,5,49.1,74,61,39,26,28,3.97,4,5.53,Prairie State,2
14,Jayla,Matela,Freshman,P/OF,13,4,1,3,0,4,46,92,71,47,8,15,2.28,10,7.15,Prairie State,2
1,Madison,Carlson,NA,P,35,30,25,4,1,20,166.2,157,80,51,29,140,5.88,6,2.14,Rock Valley,2
16,Hannah,Martin,NA,P,30,14,10,5,1,4,96.1,90,60,39,35,87,6.32,9,2.83,Rock Valley,2
22,Alison,Hassett,NA,P,23,12,8,3,0,5,67.2,75,50,38,36,59,6.1,12,3.93,Rock Valley,2
21,Riley,Stiles,NA,P,2,0,0,0,0,0,2,4,6,5,4,4,14,0,17.5,Rock Valley,2
11,Samantha,Tourtillott,NA,IF,1,0,0,0,0,0,1,0,0,0,1,1,7,0,0,Rock Valley,2
14,Nicole,Boelens,Freshman,P/OF,16,9,1,4,0,6,52.2,123,102,79,30,25,3.32,1,10.5,Sauk Valley,2
25,Tyra,Sayler,Freshman,P/IF,16,13,1,7,0,3,52.1,116,87,58,25,15,2.01,0,7.76,Sauk Valley,2
22,Rileigh,Kinison,Sophomore,P/IF,17,2,0,0,0,1,49.2,96,72,49,20,10,1.41,1,6.91,Sauk Valley,2
17,Madelynn,Jones,Freshman,P/IF,12,12,2,2,0,5,39.1,90,67,51,21,17,3.03,0,9.08,Sauk Valley,2
18,Skyler,Katschke,Freshman,"P, 1B",28,15,9,2,0,7,94,103,59,40,44,45,3.35,13,2.98,South Suburban,2
7,Genasis,Vanderlaan,Freshman,"P, 2B",27,20,9,3,0,8,93.2,110,82,63,30,68,5.08,13,4.71,South Suburban,2
8,Abbey,Grafenauer,Freshman,"P, 1B",19,8,1,1,0,3,49,48,36,26,32,35,5,4,3.71,South Suburban,2
11,MaCayla,Boone,Sophomore,"P, 1B",8,3,0,1,0,1,14,14,15,7,13,8,4,0,3.5,South Suburban,2
27,Jocelyn,Rodriguez,Freshman,"P, Mid",7,0,1,2,0,0,9.1,17,14,13,12,5,3.75,1,9.75,South Suburban,2
99,Claire,Schneider,Freshman,"P, UT",2,0,0,0,0,0,2.1,7,8,5,0,0,0,4,15,South Suburban,2
26,Claire,Stillwell,Sophomore,,48,39,18,10,0,13,156,164,136,90,70,211,9.47,8,4.04,Triton,2
14,McKenzie,Johnson,Freshman,RHP,33,11,18,7,1,7,154.2,122,102,68,79,227,10.27,7,3.08,Triton,2
22,Daniella,Trentadue,Freshman,,12,3,2,2,0,1,26.1,31,23,19,18,24,6.38,4,5.05,Triton,2
23,Jocelyn,Foss,Freshman,,6,0,1,1,1,0,11.2,13,9,8,5,7,4.2,0,4.8,Triton,2
31,Jeri,Bradford,Freshman,RHP,2,0,0,0,0,0,3,4,2,0,2,3,7,0,0,Triton,2
20,Breanne,Deutscher,Sophomore,,1,1,0,1,0,0,2,5,6,6,2,0,0,0,21,Triton,2
18,Sarah,Mosqueda,Freshman,RHP,1,0,0,0,0,0,1,2,1,1,1,0,0,0,7,Triton,2
13,Taylor,Warren,Sophomore,RHP,32,28,22,7,0,26,185.2,183,88,50,34,151,5.69,11,1.89,Waubonsee,2
25,Taylor,Hamaker,Freshman,OF,16,4,6,2,0,2,48.2,56,32,18,11,40,5.75,5,2.59,Waubonsee,2
19,Valerie,Osthoff,Freshman,INF,15,12,6,2,0,0,46.1,54,47,21,23,24,3.63,6,3.17,Waubonsee,2
8,Kayla,Tranter,Sophomore,1B/OF,8,7,1,4,0,4,31.2,58,51,36,16,17,3.76,3,7.96,Waubonsee,2
15,Brooklyn,Ellis,Freshman,P/IF,19,10,6,6,1,5,77,114,86,66,24,26,2.36,12,6,Allen County,2
17,Skyler,Jackson,Sophomore,P/IF,17,14,6,7,1,6,75.1,78,72,50,42,63,5.85,9,4.65,Allen County,2
9,MaKayla,McGinnis,Sophomore,P/IF,15,7,1,7,2,3,52.1,98,76,61,15,22,2.94,7,8.16,Allen County,2
7,Morgan,Collins,Freshman,IF/P,11,7,2,3,0,1,38,58,77,46,46,22,4.05,9,8.47,Allen County,2
0,Carissa,Knight,Sophomore,P/IF,4,3,0,2,1,1,13,23,24,17,7,7,3.77,1,9.15,Allen County,2
5,Taylor,Dekok,Sophomore,P/1B,25,21,9,7,0,14,115.1,150,105,82,60,73,4.43,8,4.98,Cloud County,2
17,Kiera,Brack,Freshman,P/1B,23,12,5,10,1,4,86,130,85,78,37,53,4.31,14,6.35,Cloud County,2
8,Jayden,Rehlander,Freshman,OF/SS/:P,11,7,1,6,0,2,37.1,64,54,39,28,21,3.94,5,7.31,Cloud County,2
15,Taryn,McKinney,Freshman,OF/P,12,5,3,2,0,1,27.1,40,36,27,18,12,3.07,0,6.91,Cloud County,2
20,Lynsey,Stewart,Freshman,P/1B,12,1,2,1,1,0,20,28,24,18,10,8,2.8,4,6.3,Cloud County,2
10,Joslyn,Airington,Sophomore,P/1B,19,7,3,6,0,2,74,132,101,82,33,31,2.93,10,7.76,Coffeyville,2
20,Justina,Raye,Freshman,P/UTL,22,18,0,7,0,6,70.2,126,121,86,51,50,4.95,8,8.52,Coffeyville,2
4,Jade,Jimboy,Freshman,P/OF,22,9,0,2,0,0,42.1,79,61,41,12,19,3.14,1,6.78,Coffeyville,2
6,Morgan,McDaniel,Freshman,P/OF,14,4,0,0,0,0,15.1,41,42,29,17,4,1.83,4,13.24,Coffeyville,2
7,Lainey,Hardman,Freshman,OF/P,7,1,0,0,0,0,9,24,35,26,14,3,2.33,4,20.22,Coffeyville,2
23,Saige,Smith,Freshman,P,39,2,25,7,3,0,183.1,138,89,61,66,263,10.04,13,2.33,Cowley,2
15,Jaala,Nowlin,Freshman,P,25,1,10,3,1,0,80,82,66,48,39,45,3.94,8,4.2,Cowley,2
2,Ellie,Kuntz,Sophomore,P,17,2,3,3,1,1,34.1,41,38,24,31,37,7.54,3,4.89,Cowley,2
21,Sydney,Price,Sophomore,P/INF,8,0,2,1,1,0,15.2,22,18,13,11,12,5.36,3,5.81,Cowley,2
25,Taylor,Mercer,Sophomore,P,9,0,0,0,2,0,8.1,8,4,2,3,5,4.2,1,1.68,Cowley,2
20,Kennedy,Toothman,Sophomore,P,7,0,0,1,2,0,8,13,9,8,2,1,0.88,0,7,Cowley,2
18,Maddy,Cole,Freshman,,29,24,15,6,1,11,129.1,133,75,51,41,75,4.06,10,2.76,Fort Scott,2
24,Jenni,Jennings,Sophomore,P,30,16,8,7,4,5,103.1,136,84,52,31,54,3.66,14,3.52,Fort Scott,2
9,Brittany,Winchester,Sophomore,P/1B,21,8,6,3,2,1,65.2,104,57,45,18,29,3.09,10,4.8,Fort Scott,2
20,Saedra,Allen,Sophomore,P,3,0,0,1,0,0,8.1,12,13,12,6,8,6.72,3,10.08,Fort Scott,2
3,Julia,Paisley,Freshman,IF,1,0,0,0,0,0,2.1,0,2,2,5,0,0,0,6,Fort Scott,2
12,Hannah,Williams,Sophomore,NA,26,9,4,14,0,5,139.1,172,124,82,91,117,5.88,11,4.12,Hesston,2
7,Emma,Killingsworth,Freshman,NA,17,9,3,10,0,6,80,115,81,57,42,34,2.98,2,4.99,Hesston,2
4,Lauren,Payne,Freshman,NA,11,4,2,4,1,0,23.1,35,45,40,40,4,1.2,3,12,Hesston,2
10,EMMA,KREISEL,Freshman,RHP,28,20,13,10,2,10,116.1,139,89,69,60,145,8.72,4,4.15,Highland (KS),2
15,HALLEY,ASBURY,Sophomore,LHP,26,15,5,6,0,6,86,111,71,60,50,114,9.28,10,4.88,Highland (KS),2
6,MEG,MCCALLUM,Freshman,RHP,21,5,3,1,1,0,53.1,65,41,28,25,35,4.59,2,3.68,Highland (KS),2
12,KENDYL,SCHMITZ,Freshman,RHP,11,6,4,4,0,1,24.2,46,38,35,15,16,4.54,2,9.93,Highland (KS),2
7,ELLIE,STEMBER,Sophomore,RHP,7,1,1,0,0,0,9,13,12,9,10,9,7,1,7,Highland (KS),2
22,CALLYN,PAVLISH,Sophomore,UT,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,Highland (KS),2
28,Mykala,Johnico,Sophomore,RHP,31,25,15,11,0,20,166.1,105,73,49,78,259,10.9,11,2.06,Independence,2
23,Graci,Buckley,Sophomore,RHP,19,15,8,6,0,10,98,104,79,61,47,84,6,9,4.36,Independence,2
15,Gabriella,Simpson,Freshman,LHP,12,8,2,6,0,3,47.1,68,57,42,21,37,5.47,6,6.21,Independence,2
27,Shelby,Kaack,Freshman,C/INF,1,0,0,0,0,0,3.2,1,0,0,1,2,3.82,0,0,Independence,2
8,Jordan,Harrison,Sophomore,P/1B,26,17,20,3,0,13,134,100,45,34,46,159,8.31,6,1.78,Johnson County,2
20,Maggie,McNally,Freshman,P/OF,26,23,13,4,0,10,113.2,82,63,44,82,132,8.13,3,2.71,Johnson County,2
4,Deja,Gardenhire,Freshman,1B/P,9,0,0,1,1,0,11.1,14,14,10,4,4,2.47,2,6.18,Johnson County,2
19,Landri,Lopez,Freshman,P,35,24,12,12,1,13,158.1,188,139,110,112,79,3.49,4,4.86,Kansas City Kansas,2
9,Jayden,Hull,Freshman,P,26,17,7,9,0,7,104.1,172,105,93,45,41,2.75,9,6.24,Kansas City Kansas,2
3,Jessica,Bell,Freshman,2B,5,0,0,0,0,0,10.1,9,8,8,8,1,0.68,0,5.42,Kansas City Kansas,2
14,Karson,Hassan,Freshman,P,4,2,1,1,0,0,9,10,12,12,7,6,4.67,0,9.33,Kansas City Kansas,2
12,Emily,Ashford,Sophomore,P,4,1,0,1,0,0,4.2,15,16,14,4,5,7.5,2,21,Kansas City Kansas,2
4,Maya,Sheldon,Sophomore,OF,3,0,1,0,0,0,4,10,4,3,2,0,0,0,5.25,Kansas City Kansas,2
11,Savannah,Short,Freshman,3B,2,1,0,0,0,0,3.2,3,4,3,5,1,1.91,0,5.73,Kansas City Kansas,2
22,Raven,Hough,Sophomore,RHP,20,19,7,6,0,16,119,180,103,75,31,42,2.47,18,4.41,Labette,2
25,Lexi,Miller,Freshman,RHP,21,17,5,4,0,13,103.1,143,105,72,37,41,2.78,16,4.88,Labette,2
20,Ellie,Facklam,Sophomore,RHP/3B,14,10,6,4,0,8,64.2,72,56,32,21,25,2.71,9,3.46,Labette,2
13,Lauren,Fuller,Sophomore,Pitcher,31,22,11,6,3,10,132.2,161,86,63,27,57,3.01,9,3.32,Neosho County,2
33,Logan,Cates,Freshman,Pitcher,21,15,3,4,1,8,90.2,80,57,28,40,99,7.64,4,2.16,Neosho County,2
23,Gracie,Turner,Freshman,Pitcher,21,9,3,4,2,3,69,94,61,42,26,42,4.26,15,4.26,Neosho County,2
10,Dina,Marchoud,Freshman,Pitcher/Utility,6,2,0,1,0,0,14.1,20,17,10,7,8,3.91,2,4.88,Neosho County,2
25,Zoe,Newcomb,Sophomore,First Base,5,2,1,0,0,0,12,22,16,10,7,3,1.75,2,5.83,Neosho County,2
24,Vivian,Gorey,Freshman,,19,15,6,9,3,9,84,82,79,74,56,77,6.42,17,6.17,Florida State Jacksonville,2
17,Savannah,Lister,Jr,P,17,12,3,8,1,6,60.2,77,52,41,26,24,2.77,5,4.73,Florida State Jacksonville,2
20,Abby,Rutledge,Freshman,,16,6,4,2,2,2,52.1,49,38,30,23,42,5.62,2,4.01,Florida State Jacksonville,2
21,Hailee,DeCicco,Sr,P,12,8,6,3,0,4,51,56,31,27,17,17,2.33,5,3.71,Florida State Jacksonville,2
7,Darian,Pippin,Sophomore,RHP,32,23,16,7,1,14,152.1,139,77,58,28,108,4.96,12,2.67,Lake-Sumter State,2
12,Ali,Shenefield,Sophomore,,25,18,18,4,3,13,125,97,43,34,27,158,8.85,9,1.9,Lake-Sumter State,2
16,Mia,Lovett,Sophomore,RHP,15,9,2,4,0,1,44.1,65,43,28,18,23,3.63,0,4.42,Lake-Sumter State,2
14,Kayley,Williams,Freshman,RHP,13,7,1,2,1,2,36.1,44,31,22,13,16,3.08,3,4.24,Lake-Sumter State,2
6,Elizabeth,Auciello,Freshman,LHP,14,5,5,1,0,2,35.1,65,51,32,7,20,3.96,7,6.34,Lake-Sumter State,2
29,Savannah,Lee,Sophomore,P/1B,21,17,9,5,0,8,100.2,112,52,40,28,51,3.55,2,2.78,Pasco-Hernando State,2
2,Emily,Proctor,Sophomore,P,14,9,6,3,1,5,69.1,67,30,23,34,57,5.75,1,2.32,Pasco-Hernando State,2
25,Jasmin,Fontela,Sophomore,P/1B,19,9,4,6,1,0,51.1,56,40,31,23,21,2.86,1,4.23,Pasco-Hernando State,2
15,Ava,Daly,Freshman,P,19,5,7,3,1,1,50,56,28,15,16,31,4.34,1,2.1,Pasco-Hernando State,2
6,Alysse,Bagley,Freshman,P,11,3,1,2,1,0,21.1,30,21,18,12,14,4.59,1,5.91,Pasco-Hernando State,2
11,Gracie,Stanley,Freshman,Inf/P,6,2,0,1,1,0,13.2,16,12,10,7,7,3.59,0,5.12,Pasco-Hernando State,2
16,Emylee,Mountin,Sophomore,P,34,3,4,7,1,0,128,199,123,68,35,26,1.42,5,3.72,South Florida State,2
21,Makayla,Oster,Freshman,P/ 2nd,31,1,6,2,0,0,120.1,129,99,69,78,56,3.26,5,4.01,South Florida State,2
6,Sidney,Toukonen,Freshman,P,27,3,2,7,2,0,95.1,92,100,65,78,65,4.77,4,4.77,South Florida State,2
10,Kaylee,Underwood,Freshman,1ST,3,0,0,0,0,0,6.2,2,4,3,10,1,1.05,0,3.15,South Florida State,2
24,Ana,Gonzalez,Sophomore,1 st,1,0,0,0,0,0,0,4,3,3,0,0,0,0,Inf,South Florida State,2
21,Carolyn,Lasater,Freshman,RHP,31,26,6,15,0,15,146.1,213,160,117,98,47,2.25,20,5.6,St. Johns River State,2
4,Lexi,Phillips,Sophomore,P/INF,24,18,8,11,3,10,117,143,91,68,35,49,2.93,10,4.07,St. Johns River State,2
19,Bailey,Henderson,Freshman,RHP,18,11,3,7,0,3,45.2,88,92,74,44,11,1.69,1,11.34,St. Johns River State,2
8,Tayler,Barrett,Sophomore,INF,16,2,1,2,1,0,42.1,65,50,35,23,15,2.48,2,5.79,St. Johns River State,2
24,Madison,Duncan,Freshman,,5,2,0,2,0,1,20.2,28,29,22,25,5,1.69,1,7.45,St. Johns River State,2
10,Marlee,Dillinger,Sophomore,P,1,1,0,1,0,0,2.1,3,5,3,6,1,3,0,9,St. Johns River State,2
15,Kailee,Pollard,Sophomore,P/I,33,30,18,9,0,15,131.2,158,110,73,52,81,4.31,4,3.88,Central,2
16,Addison,Kudron,Freshman,P,22,7,6,3,2,5,82.2,98,54,39,30,25,2.12,5,3.3,Central,2
18,Andrea,Palma,Freshman,,16,6,4,1,0,3,45.1,57,38,32,16,27,4.17,5,4.94,Central,2
4,Addison,Heule,Freshman,P,8,5,2,1,1,2,30.1,45,27,23,15,11,2.54,2,5.31,Central,2
4,Angelina,Lockhart,Sophomore,P/OF,24,17,5,11,1,7,87,88,165,79,101,63,5.07,10,6.36,North Platte,2
10,Taelyn,Dakamas,Sophomore,P,23,14,5,8,0,5,76.1,72,79,42,46,36,3.3,13,3.85,North Platte,2
16,Sasha,Strandberg,Freshman,,10,8,1,4,0,2,40,48,63,40,30,37,6.48,12,7,North Platte,2
23,April,Grace,Freshman,,9,6,3,3,0,2,30.1,25,40,22,27,15,3.46,4,5.08,North Platte,2
11,Jenelle,Gudjonson,Freshman,,15,1,0,2,2,0,26.1,43,36,18,11,19,5.05,4,4.78,North Platte,2
9,Paige,Beiriger,Sophomore,P/2B,22,19,9,8,1,15,120.1,167,117,83,34,38,2.21,23,4.83,Southeast,2
28,Macy,Sabatka,Freshman,P/1B,24,16,2,13,0,10,109.2,191,166,105,16,29,1.85,21,6.7,Southeast,2
45,Jaedyn,Ratzlaff,Freshman,P,9,7,1,6,0,6,39.2,76,71,53,25,19,3.35,9,9.35,Southeast,2
2,Ellie,Haas,Freshman,P/1B,7,5,2,3,0,1,20,35,40,31,20,9,3.15,9,10.85,Southeast,2
8,Savannah,Birdsong,Sophomore,"P, IF",24,18,5,9,1,12,106,127,110,85,81,113,7.46,13,5.61,Brunswick,2
18,Zoie,Hamilton,Freshman,OF,19,16,5,11,0,2,77,120,106,78,40,61,5.55,8,7.09,Brunswick,2
14,Ava,Hinson,Freshman,"P, 1B",16,4,2,2,2,0,32,49,69,36,32,33,7.22,3,7.88,Brunswick,2
3,Emily,Jones,Freshman,"P, 2B",15,3,1,3,2,2,26,45,39,21,14,8,2.15,1,5.65,Brunswick,2
16,Jennna,Davis,Freshman,OF,4,0,0,0,0,0,7,11,4,3,4,4,4,0,3,Brunswick,2
4,Raven,Hampton,Sophomore,UT,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Brunswick,2
12,Chloe,Gust,Freshman,1B/P,26,20,8,4,0,4,127.2,121,61,47,41,77,4.22,12,2.58,Bryant &amp; Stratton (VA),2
23,Alyssa,Galvan,Sophomore,SP,18,15,6,3,0,3,71,111,62,48,19,27,2.66,12,4.73,Bryant &amp; Stratton (VA),2
5,Kaitlyn,Covey,Freshman,"SP, U",14,5,2,1,1,2,51.1,66,50,36,23,23,3.14,7,4.91,Bryant &amp; Stratton (VA),2
10,Rachel,Smith,Sophomore,SP,11,5,1,1,0,0,19.1,47,52,45,28,2,0.72,6,16.29,Bryant &amp; Stratton (VA),2
2,Iyana,Betts,Freshman,"SP, CF",4,0,2,0,0,0,9.2,19,14,13,4,6,4.34,1,9.41,Bryant &amp; Stratton (VA),2
6,Mayson,Lail,Freshman,,29,24,22,4,1,11,166,103,43,39,46,213,8.98,16,1.64,Catawba Valley,2
20,Jillian,Jones,Sophomore,P/UTIL,26,25,21,2,0,9,150,120,51,36,31,108,5.04,9,1.68,Catawba Valley,2
11,Brooke,Dover,Sophomore,P,35,29,8,4,0,13,186,186,143,96,118,175,6.59,14,3.61,Cleveland,2
2,Kaylen,Cales,Freshman,Utility,21,12,2,7,0,5,81,118,131,76,74,27,2.33,7,6.57,Cleveland,2
6,Andrea,Melton,Freshman,Utility,9,5,0,2,0,1,26.2,65,64,58,26,8,2.1,4,15.22,Cleveland,2
16,Tamarah,Lowery,Freshman,P/1B,32,22,13,6,0,9,157.1,202,148,102,53,174,7.74,10,4.54,Fayetteville Tech,2
9,Faith,Martin,Freshman,UTL,12,10,2,9,0,1,43,76,74,48,34,16,2.6,3,7.81,Fayetteville Tech,2
8,Kylie,Reswik,Sophomore,P/1B,19,4,2,3,0,1,40,83,73,47,19,16,2.8,11,8.22,Fayetteville Tech,2
1,Ava,Basolt,Freshman,IF,7,3,1,2,0,1,27.2,54,39,27,11,14,3.54,5,6.83,Fayetteville Tech,2
6,Hailey,Pait,Sophomore,UTL,6,6,1,3,0,1,22,45,34,26,8,1,0.32,3,8.27,Fayetteville Tech,2
13,Brianna,Brewer,Freshman,P,7,1,1,0,1,0,10.1,10,16,5,15,2,1.35,1,3.39,Fayetteville Tech,2
14,Zoey,Jones,Freshman,,37,34,31,2,0,19,170,97,33,25,52,170,7,6,1.03,Louisburg,2
21,Kennedy,Byrd,Freshman,,31,25,22,2,1,11,130,73,37,25,35,136,7.32,11,1.35,Louisburg,2
33,Emilee,Prince,Sophomore,P,20,6,4,1,0,2,50.1,34,25,19,14,61,8.48,7,2.64,Louisburg,2
79,Riley,Lingerfelt,Sophomore,P,18,3,5,0,1,1,44,24,12,8,8,55,8.75,6,1.27,Louisburg,2
18,Darrah,Nickens,Freshman,,1,0,1,0,0,0,3,8,4,4,2,1,2.33,1,9.33,Louisburg,2
1,Lindsey,Curlings,Sophomore,UTL,31,23,8,6,0,2,128.1,185,121,85,51,39,2.13,6,4.64,Pitt,2
4,Amaya,Cerutti,Sophomore,P,17,8,4,4,0,0,58.1,90,70,38,13,23,2.76,8,4.56,Pitt,2
21,Jalexis,Terry,Freshman,1B/P,7,0,0,0,0,0,12,19,19,17,19,2,1.17,0,9.92,Pitt,2
12,Kearsyn,Henderson,Sophomore,INF,3,2,1,1,0,0,8.2,20,21,13,10,3,2.42,3,10.5,Pitt,2
8,Emma,Fisher,Sophomore,UTL,5,2,1,1,0,0,6.1,18,26,24,17,6,6.63,5,26.53,Pitt,2
5,Christa,Golden,Freshman,OF,2,0,0,0,0,0,1.1,0,0,0,0,2,10.5,0,0,Pitt,2
28,Jayanna,Richards,Freshman,,20,12,2,6,0,1,86.1,139,93,51,18,51,4.14,6,4.14,Richard Bland,2
16,Casey,Hart,Sophomore,P/1B,22,11,3,4,0,1,85.1,148,111,85,41,53,4.35,13,6.97,Richard Bland,2
4,Lily,Curtis,Sophomore,OF/P,12,2,1,0,0,1,24,36,24,13,13,10,2.92,2,3.79,Richard Bland,2
25,Maggie,Linthicum,Sophomore,P,8,4,2,0,0,0,15.2,33,34,22,12,8,3.57,4,9.83,Richard Bland,2
44,Jenna,Nicolski,Freshman,,10,1,0,0,0,0,13,31,29,20,10,8,4.31,3,10.77,Richard Bland,2
18,Lauren,Hilburn,,P,23,5,12,7,0,1,123.2,137,76,58,35,157,8.89,4,3.28,Southeastern-Whiteville,2
4,Hannah,Andrews,,P,20,4,2,8,0,1,71,127,104,78,36,34,3.35,10,7.69,Southeastern-Whiteville,2
5,Leah,Floyd,,UTL,8,2,0,1,0,0,23.1,44,41,26,15,11,3.3,3,7.8,Southeastern-Whiteville,2
9,Marissa,Ivey,Freshman,P,5,0,0,1,0,0,7.1,17,13,11,7,2,1.91,1,10.5,Southeastern-Whiteville,2
1,Carly,Billings,,OF,1,1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,Southeastern-Whiteville,2
41,Laci,Williams,Xfer.,NA,29,17,0,7,0,7,135.2,250,193,165,50,77,3.97,19,8.51,Southwest Virginia,2
15,Lauren,Earls,Xfer.,NA,14,9,0,3,0,5,55.2,108,65,42,26,35,4.4,2,5.28,Southwest Virginia,2
16,Olivia,Absher,Sophomore,NA,3,0,0,0,0,0,5,16,9,9,6,2,2.8,0,12.6,Southwest Virginia,2
15,Tori,James,Freshman,,21,14,2,10,0,5,94.2,156,130,89,33,40,2.96,19,6.58,Wake Tech,2
9,Lexi,Jones,Sophomore,RHP/UTL,21,16,4,12,0,5,87.2,166,126,98,33,24,1.92,20,7.83,Wake Tech,2
13,Emily,Clark,Freshman,P,9,1,0,2,0,1,16,23,27,16,11,8,3.5,1,7,Wake Tech,2
10,Allie,Lane,Freshman,SS,2,0,0,0,0,0,2,5,3,1,1,0,0,1,3.5,Wake Tech,2
4,Sydney,Kennedy,Sophomore,RHP/Uti,35,31,27,4,0,15,169,129,70,47,62,257,10.64,16,1.95,Des Moines Area,2
10,Courtney,Donahue,Freshman,RHP/1B,35,20,16,3,1,6,108.1,101,57,45,39,134,8.66,10,2.91,Des Moines Area,2
12,Kinsley,Robertson,Freshman,RHP/1B,25,13,9,4,0,2,70.1,68,41,28,27,58,5.77,17,2.79,Des Moines Area,2
19,Lauryn,Foudree,Freshman,RHP,19,1,0,0,0,0,33.1,32,15,11,9,38,7.98,3,2.31,Des Moines Area,2
16,Grace,Bailey,Freshman,RHP/1B,12,1,2,1,3,0,20.1,22,7,6,2,14,4.82,1,2.07,Des Moines Area,2
27,Lauren,Brennan,Sophomore,RHP/ 1B,23,10,1,12,1,2,77.1,149,128,95,37,34,3.08,14,8.6,Ellsworth,2
11,Saige,Keller,Freshman,RHP/UTL,22,16,4,11,0,4,67.2,128,130,89,58,51,5.28,8,9.21,Ellsworth,2
12,Jocelyn,Hartley,Sophomore,RHP,19,8,0,7,0,1,45,102,94,75,39,27,4.2,10,11.67,Ellsworth,2
13,Taryn,Cory,Freshman,INF,14,12,0,10,0,1,40.2,100,94,81,27,21,3.61,13,13.94,Ellsworth,2
20,Lili,Ruiz,Sophomore,RHP/ OF,9,0,0,0,0,0,13.2,32,24,21,6,8,4.1,2,10.76,Ellsworth,2
5,Kierstyn,Sutton,Freshman,OF,2,0,0,0,0,0,3,8,8,8,5,0,0,0,18.67,Ellsworth,2
26,Haley,Martinez,Freshman,P/INF,2,0,0,0,0,0,2.2,9,6,6,2,1,2.63,0,15.75,Ellsworth,2
6,Marleigh,Sikes,Freshman,RHP/UTL,1,0,0,0,0,0,2.2,7,8,8,5,0,0,1,21,Ellsworth,2
10,Katelynn,Hursh,Freshman,OF,1,0,0,0,0,0,1,0,1,0,1,1,7,0,0,Ellsworth,2
17,Taylor,Lee,Sophomore,P,31,24,12,10,0,8,134.1,161,144,105,87,87,4.53,15,5.47,Iowa Central,2
10,Katelyn,Dennis,Freshman,P,30,23,9,9,0,6,109.2,145,124,92,75,54,3.45,14,5.87,Iowa Central,2
5,Riley,Gilroy,Sophomore,OF/P,35,10,9,7,6,9,106.1,92,82,65,69,134,8.82,16,4.28,Iowa Central,2
25,Mackenna,Jones,Sophomore,P/1B,35,28,18,8,1,26,184.2,169,102,73,66,252,9.55,33,2.77,Iowa Lakes,2
10,Jayda,Staige,Sophomore,P,23,13,6,6,0,2,74.2,95,112,81,64,79,7.41,14,7.59,Iowa Lakes,2
21,Baylee,O'Donnell,Sophomore,P/1B,22,13,9,2,0,3,74,114,79,67,44,47,4.45,18,6.34,Iowa Lakes,2
12,Kara,Maiers,Sophomore,P,28,24,15,9,1,18,159.1,146,86,47,43,166,7.29,18,2.06,Kirkwood,2
4,Sailor,Hall,Freshman,P,29,24,19,4,0,14,138.2,144,78,56,26,83,4.19,13,2.83,Kirkwood,2
14,Jenna,Sprague,Freshman,P,24,13,10,5,0,8,81,81,45,34,16,80,6.91,14,2.94,Kirkwood,2
13,Delia,Schwartz,Freshman,P,6,2,1,0,0,1,17,25,17,15,5,3,1.24,5,6.18,Kirkwood,2
3,Laken,Lienhard,Sophomore,P/INF,27,21,19,5,1,18,136,127,78,53,35,126,6.49,19,2.73,North Iowa Area,2
10,Brynn,Stalberger,Freshman,,26,22,11,6,0,13,123,140,112,83,62,106,6.03,18,4.72,North Iowa Area,2
11,Emily,Jones,Freshman,,12,6,6,2,0,3,41,47,33,19,7,22,3.76,6,3.24,North Iowa Area,2
31,Leah,Martinez,Freshman,,1,0,0,0,0,0,1,0,0,0,1,1,7,0,0,North Iowa Area,2
11,Jade,Schultz,NA,NA,27,19,13,9,2,16,150,181,106,72,44,157,7.33,5,3.36,Alpena,2
5,Alaina,Saari,NA,NA,11,8,4,3,0,4,36.2,63,39,23,6,12,2.29,1,4.39,Alpena,2
22,Makayla,Kamyszek,NA,NA,7,4,1,2,0,1,24,54,49,30,12,10,2.92,2,8.75,Alpena,2
9,Rhea,Amrich,NA,NA,1,1,0,1,0,0,0.2,2,3,3,3,0,0,0,31.5,Alpena,2
23,Elizabeth,Romel,NA,NA,1,1,0,0,0,0,0,3,5,3,1,0,0,0,Inf,Alpena,2
3,Rachael,Winkel,Sophomore,P,33,24,9,17,0,15,157.1,262,179,133,60,115,5.12,19,5.92,Bay College,2
9,Natalie,Belanger,Sophomore,IF,19,13,2,5,1,1,59.2,90,91,52,50,49,5.75,11,6.1,Bay College,2
17,Isabella,Drabant,Freshman,P,6,4,0,4,0,1,23,43,26,22,12,7,2.13,3,6.7,Bay College,2
11,Brooke,Gannon,Sophomore,P,6,0,1,1,0,0,12,22,21,17,16,10,5.83,0,9.92,Bay College,2
8,Diane,Salinas,Freshman,P,5,1,0,2,0,0,8,36,34,21,1,4,3.5,0,18.38,Bay College,2
6,Kali,Stanchina,Freshman,IF,1,0,0,0,0,0,0,3,4,4,0,0,0,1,Inf,Bay College,2
19,Sam,Goode,Sophomore,P/ 1B,13,8,2,7,0,4,67.2,119,84,59,23,54,5.59,4,6.1,Bryant & Stratton (OH),2
